MinCut number | Number of graphs
            4 |               0
            5 |               0
            6 |              55
            7 |             167
            8 |             331
            9 |             245
           10 |             202
           11 |               0
           12 |               0
           13 |               0
           14 |               0
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
