MinCut number | Number of graphs
            4 |               0
            5 |               6
            6 |              31
            7 |             101
            8 |             368
            9 |             255
           10 |             157
           11 |              75
           12 |               7
           13 |               0
           14 |               0
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
