MinCut number | Number of graphs
            4 |               0
            5 |               0
            6 |              82
            7 |             142
            8 |             295
            9 |             269
           10 |             146
           11 |              54
           12 |              12
           13 |               0
           14 |               0
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
