MinCut number | Number of graphs
            4 |               0
            5 |               0
            6 |              10
            7 |             198
            8 |             306
            9 |             279
           10 |             144
           11 |              56
           12 |               2
           13 |               5
           14 |               0
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
