graph20_70_3.txt: 
Min Cuts: 29 
R Size | Number of Cuts
     1 |             4
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             4
    18 |             5
    19 |             0

graph20_70_757.txt: 
Min Cuts: 30 
R Size | Number of Cuts
     1 |             6
     2 |             3
     3 |             0
     4 |             0
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             0
    14 |             0
    15 |             0
    16 |             4
    17 |             0
    18 |             4
    19 |             0

graph20_70_381.txt: 
Min Cuts: 33 
R Size | Number of Cuts
     1 |             3
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             0
    18 |            15
    19 |             0

graph20_70_662.txt: 
Min Cuts: 35 
R Size | Number of Cuts
     1 |             5
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             2
    18 |            13
    19 |             0

graph20_70_871.txt: 
Min Cuts: 39 
R Size | Number of Cuts
     1 |             5
     2 |             6
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |            18
    19 |             0

graph20_70_813.txt: 
Min Cuts: 39 
R Size | Number of Cuts
     1 |             6
     2 |             1
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             1
    18 |            16
    19 |             0

graph20_70_547.txt: 
Min Cuts: 41 
R Size | Number of Cuts
     1 |             4
     2 |             4
     3 |             0
     4 |             0
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             2
    18 |            21
    19 |             0

graph20_70_516.txt: 
Min Cuts: 41 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             2
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             5
    18 |            16
    19 |             0

graph20_70_864.txt: 
Min Cuts: 42 
R Size | Number of Cuts
     1 |             6
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             0
    15 |             0
    16 |             0
    17 |             6
    18 |            17
    19 |             0

graph20_70_514.txt: 
Min Cuts: 42 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             1
     4 |             1
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             3
    17 |             2
    18 |            14
    19 |             0

graph20_70_955.txt: 
Min Cuts: 43 
R Size | Number of Cuts
     1 |             4
     2 |             3
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             0
    15 |             0
    16 |             0
    17 |             5
    18 |            18
    19 |             0

graph20_70_671.txt: 
Min Cuts: 43 
R Size | Number of Cuts
     1 |             6
     2 |             2
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |            20
    19 |             0

graph20_70_318.txt: 
Min Cuts: 43 
R Size | Number of Cuts
     1 |             5
     2 |             0
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             5
    18 |            18
    19 |             0

graph20_70_804.txt: 
Min Cuts: 43 
R Size | Number of Cuts
     1 |             2
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             3
    16 |             4
    17 |             4
    18 |            13
    19 |             0

graph20_70_183.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             4
     2 |             3
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             1
    16 |             0
    17 |             7
    18 |            15
    19 |             0

graph20_70_709.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             3
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             1
    18 |            24
    19 |             0

graph20_70_115.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             9
    18 |            14
    19 |             0

graph20_70_292.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             4
     2 |             1
     3 |             1
     4 |             2
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             6
    18 |            18
    19 |             0

