graph20_60_882.txt: 
Min Cuts: 33 
R Size | Number of Cuts
     1 |             5
     2 |             2
     3 |             0
     4 |             0
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             5
    18 |             7
    19 |             0

graph20_60_48.txt: 
Min Cuts: 34 
R Size | Number of Cuts
     1 |             4
     2 |             3
     3 |             1
     4 |             1
     5 |             1
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             2
    13 |             0
    14 |             0
    15 |             5
    16 |             0
    17 |             1
    18 |             2
    19 |             0

graph20_60_241.txt: 
Min Cuts: 38 
R Size | Number of Cuts
     1 |             3
     2 |             0
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             3
    18 |            17
    19 |             0

graph20_60_431.txt: 
Min Cuts: 38 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             1
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             2
    18 |            13
    19 |             0

graph20_60_30.txt: 
Min Cuts: 38 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             1
     4 |             0
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             3
    16 |             8
    17 |             1
    18 |             4
    19 |             0

graph20_60_885.txt: 
Min Cuts: 38 
R Size | Number of Cuts
     1 |             7
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |            11
    18 |             8
    19 |             0

graph20_60_190.txt: 
Min Cuts: 40 
R Size | Number of Cuts
     1 |             6
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             2
    17 |             9
    18 |             9
    19 |             0

graph20_60_696.txt: 
Min Cuts: 40 
R Size | Number of Cuts
     1 |             3
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             1
    10 |             1
    11 |             0
    12 |             0
    13 |             1
    14 |             2
    15 |             0
    16 |             0
    17 |             7
    18 |            10
    19 |             0

graph20_60_875.txt: 
Min Cuts: 41 
R Size | Number of Cuts
     1 |             4
     2 |             5
     3 |             5
     4 |             2
     5 |             1
     6 |             1
     7 |             0
     8 |             0
     9 |             1
    10 |             1
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             2
    17 |             3
    18 |             7
    19 |             0

graph20_60_637.txt: 
Min Cuts: 41 
R Size | Number of Cuts
     1 |             3
     2 |             3
     3 |             2
     4 |             2
     5 |             1
     6 |             0
     7 |             1
     8 |             0
     9 |             1
    10 |             0
    11 |             0
    12 |             1
    13 |             1
    14 |             5
    15 |             4
    16 |             1
    17 |             0
    18 |             5
    19 |             0

