graph20_20_618.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             7
     2 |             5
     3 |             3
     4 |             4
     5 |             4
     6 |             3
     7 |             2
     8 |             1
     9 |             1
    10 |             1
    11 |             3
    12 |             1
    13 |             1
    14 |             1
    15 |             0
    16 |             0
    17 |             2
    18 |             0
    19 |             0

graph20_20_563.txt: 
Min Cuts: 55 
R Size | Number of Cuts
     1 |             7
     2 |             3
     3 |             4
     4 |             5
     5 |             5
     6 |             1
     7 |             4
     8 |             2
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             0
    14 |             3
    15 |             2
    16 |             1
    17 |             2
    18 |             0
    19 |             0

graph20_20_823.txt: 
Min Cuts: 55 
R Size | Number of Cuts
     1 |             5
     2 |             4
     3 |             5
     4 |             4
     5 |             4
     6 |             2
     7 |             3
     8 |             3
     9 |             2
    10 |             2
    11 |             1
    12 |             2
    13 |             0
    14 |             2
    15 |             0
    16 |             2
    17 |             1
    18 |             0
    19 |             0

graph20_20_909.txt: 
Min Cuts: 55 
R Size | Number of Cuts
     1 |             9
     2 |             9
     3 |             2
     4 |             1
     5 |             0
     6 |             0
     7 |             3
     8 |             3
     9 |             1
    10 |             3
    11 |             2
    12 |             2
    13 |             3
    14 |             1
    15 |             1
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_20_64.txt: 
Min Cuts: 56 
R Size | Number of Cuts
     1 |             9
     2 |             5
     3 |             1
     4 |             3
     5 |             6
     6 |             2
     7 |             3
     8 |             1
     9 |             2
    10 |             1
    11 |             2
    12 |             1
    13 |             2
    14 |             2
    15 |             1
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_159.txt: 
Min Cuts: 56 
R Size | Number of Cuts
     1 |             5
     2 |             6
     3 |             6
     4 |             3
     5 |             3
     6 |             3
     7 |             4
     8 |             2
     9 |             3
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             2
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_20_444.txt: 
Min Cuts: 56 
R Size | Number of Cuts
     1 |             7
     2 |             5
     3 |             2
     4 |             3
     5 |             4
     6 |             3
     7 |             3
     8 |             3
     9 |             2
    10 |             1
    11 |             2
    12 |             1
    13 |             2
    14 |             3
    15 |             1
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_845.txt: 
Min Cuts: 56 
R Size | Number of Cuts
     1 |             9
     2 |             7
     3 |             4
     4 |             3
     5 |             1
     6 |             1
     7 |             2
     8 |             3
     9 |             0
    10 |             4
    11 |             3
    12 |             2
    13 |             0
    14 |             1
    15 |             2
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_20_441.txt: 
Min Cuts: 56 
R Size | Number of Cuts
     1 |             7
     2 |             6
     3 |             6
     4 |             6
     5 |             2
     6 |             1
     7 |             3
     8 |             1
     9 |             2
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             2
    15 |             1
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_886.txt: 
Min Cuts: 56 
R Size | Number of Cuts
     1 |             5
     2 |             7
     3 |             4
     4 |             3
     5 |             2
     6 |             4
     7 |             2
     8 |             2
     9 |             4
    10 |             0
    11 |             4
    12 |             0
    13 |             0
    14 |             1
    15 |             1
    16 |             2
    17 |             0
    18 |             0
    19 |             0

graph20_20_700.txt: 
Min Cuts: 57 
R Size | Number of Cuts
     1 |            11
     2 |             5
     3 |             6
     4 |             4
     5 |             2
     6 |             3
     7 |             2
     8 |             2
     9 |             2
    10 |             2
    11 |             2
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             0
    18 |             1
    19 |             0

graph20_20_406.txt: 
Min Cuts: 57 
R Size | Number of Cuts
     1 |             8
     2 |             4
     3 |             4
     4 |             2
     5 |             2
     6 |             3
     7 |             1
     8 |             4
     9 |             3
    10 |             1
    11 |             6
    12 |             2
    13 |             0
    14 |             2
    15 |             1
    16 |             0
    17 |             1
    18 |             1
    19 |             0

graph20_20_897.txt: 
Min Cuts: 57 
R Size | Number of Cuts
     1 |             8
     2 |             4
     3 |             5
     4 |             4
     5 |             3
     6 |             3
     7 |             3
     8 |             2
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             3
    15 |             3
    16 |             2
    17 |             1
    18 |             1
    19 |             0

graph20_20_772.txt: 
Min Cuts: 57 
R Size | Number of Cuts
     1 |             6
     2 |             7
     3 |             3
     4 |             1
     5 |             2
     6 |             4
     7 |             3
     8 |             2
     9 |             6
    10 |             4
    11 |             1
    12 |             0
    13 |             0
    14 |             1
    15 |             2
    16 |             1
    17 |             0
    18 |             1
    19 |             0

graph20_20_602.txt: 
Min Cuts: 57 
R Size | Number of Cuts
     1 |             7
     2 |             4
     3 |             3
     4 |             6
     5 |             4
     6 |             3
     7 |             3
     8 |             2
     9 |             1
    10 |             2
    11 |             2
    12 |             1
    13 |             3
    14 |             1
    15 |             2
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_4.txt: 
