graph20_40_852.txt: 
Min Cuts: 37 
R Size | Number of Cuts
     1 |             7
     2 |             3
     3 |             1
     4 |             1
     5 |             0
     6 |             3
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             3
    17 |             2
    18 |             3
    19 |             0

graph20_40_529.txt: 
Min Cuts: 37 
R Size | Number of Cuts
     1 |             4
     2 |             4
     3 |             4
     4 |             0
     5 |             1
     6 |             1
     7 |             2
     8 |             0
     9 |             0
    10 |             1
    11 |             1
    12 |             3
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             4
    18 |             4
    19 |             0

graph20_40_359.txt: 
Min Cuts: 39 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             2
     4 |             0
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             3
    17 |             5
    18 |             6
    19 |             0

graph20_40_418.txt: 
Min Cuts: 39 
R Size | Number of Cuts
     1 |             8
     2 |             3
     3 |             4
     4 |             0
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             1
    10 |             1
    11 |             1
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             5
    18 |             3
    19 |             0

graph20_40_407.txt: 
Min Cuts: 40 
R Size | Number of Cuts
     1 |             5
     2 |             1
     3 |             1
     4 |             1
     5 |             2
     6 |             0
     7 |             1
     8 |             2
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             3
    16 |             0
    17 |             2
    18 |             9
    19 |             0

graph20_40_664.txt: 
Min Cuts: 42 
R Size | Number of Cuts
     1 |             6
     2 |             4
     3 |             2
     4 |             2
     5 |             0
     6 |             1
     7 |             0
     8 |             1
     9 |             0
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             0
    15 |             3
    16 |             2
    17 |             2
    18 |             3
    19 |             0

graph20_40_766.txt: 
Min Cuts: 42 
R Size | Number of Cuts
     1 |             5
     2 |             4
     3 |             1
     4 |             3
     5 |             1
     6 |             0
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             2
    14 |             2
    15 |             2
    16 |             0
    17 |             6
    18 |             7
    19 |             0

graph20_40_762.txt: 
Min Cuts: 43 
R Size | Number of Cuts
     1 |             6
     2 |             5
     3 |             2
     4 |             1
     5 |             1
     6 |             3
     7 |             0
     8 |             2
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             0
    15 |             3
    16 |             1
    17 |             7
    18 |             3
    19 |             0

graph20_40_369.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             4
     2 |             3
     3 |             2
     4 |             3
     5 |             1
     6 |             1
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             3
    17 |             3
    18 |             9
    19 |             0

graph20_40_502.txt: 
Min Cuts: 45 
R Size | Number of Cuts
     1 |             7
     2 |             3
     3 |             0
     4 |             2
     5 |             0
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             2
    11 |             1
    12 |             0
    13 |             1
    14 |             1
    15 |             1
    16 |             5
    17 |             3
    18 |             3
    19 |             0

graph20_40_281.txt: 
Min Cuts: 46 
R Size | Number of Cuts
     1 |             5
     2 |             4
     3 |             1
     4 |             0
     5 |             1
     6 |             1
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             7
    18 |            11
    19 |             0

graph20_40_215.txt: 
Min Cuts: 46 
R Size | Number of Cuts
     1 |             5
     2 |             4
     3 |             0
     4 |             0
     5 |             2
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             1
    11 |             0
    12 |             4
    13 |             5
    14 |             2
    15 |             2
    16 |             2
    17 |             3
    18 |             4
    19 |             0

graph20_40_647.txt: 
Min Cuts: 46 
R Size | Number of Cuts
     1 |             3
     2 |             5
     3 |             5
     4 |             3
     5 |             4
     6 |             4
     7 |             3
     8 |             1
     9 |             1
    10 |             1
    11 |             0
    12 |             1
    13 |             1
    14 |             1
    15 |             2
    16 |             1
    17 |             0
    18 |             1
    19 |             0

graph20_40_57.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |            11
     2 |             5
     3 |             6
     4 |             6
     5 |             3
     6 |             1
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             2
    18 |             2
    19 |             0

graph20_40_400.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             4
     2 |             4
     3 |             1
     4 |             1
     5 |             1
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             1
    15 |             1
    16 |             7
    17 |             4
    18 |             8
    19 |             0

graph20_40_65.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             4
     2 |             4
     3 |             4
     4 |             2
     5 |             2
     6 |             2
     7 |             0
     8 |             1
     9 |             2
    10 |             1
    11 |             0
    12 |             0
    13 |             1
    14 |             4
    15 |             2
    16 |             7
    17 |             3
    18 |             1
    19 |             0

graph20_40_963.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             9
     2 |             4
     3 |             2
     4 |             2
     5 |             0
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             3
    12 |             2
    13 |             3
    14 |             3
    15 |             2
    16 |             5
    17 |             1
    18 |             2
    19 |             0

graph20_40_305.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             8
     2 |            10
     3 |             3
     4 |             0
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             7
    18 |             5
    19 |             0

graph20_40_817.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             5
     2 |             1
     3 |             0
     4 |             4
     5 |             1
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             2
    16 |             7
    17 |             7
