graph20_40_852.txt: 
Min Cuts: 37 
S Size | Number of Cuts
     1 |            18
     2 |             4
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             3
    18 |             6
    19 |             6

graph20_40_529.txt: 
Min Cuts: 37 
S Size | Number of Cuts
     1 |            15
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             1
     7 |             3
     8 |             0
     9 |             1
    10 |             0
    11 |             0
    12 |             1
    13 |             1
    14 |             1
    15 |             0
    16 |             3
    17 |             3
    18 |             3
    19 |             4

graph20_40_359.txt: 
Min Cuts: 39 
S Size | Number of Cuts
     1 |            15
     2 |             8
     3 |             2
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             3
    18 |             2
    19 |             9

graph20_40_418.txt: 
Min Cuts: 39 
S Size | Number of Cuts
     1 |            15
     2 |             4
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             1
     9 |             2
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             5
    17 |             4
    18 |             2
    19 |             6

graph20_40_407.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            22
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             1
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             3
    17 |             1
    18 |             2
    19 |             8

graph20_40_664.txt: 
Min Cuts: 42 
S Size | Number of Cuts
     1 |            15
     2 |             4
     3 |             2
     4 |             1
     5 |             0
     6 |             1
     7 |             2
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             1
    16 |             0
    17 |             2
    18 |             5
    19 |             6

graph20_40_766.txt: 
Min Cuts: 42 
S Size | Number of Cuts
     1 |            22
     2 |             3
     3 |             0
     4 |             2
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             1
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             2
    16 |             0
    17 |             4
    18 |             2
    19 |             6

graph20_40_762.txt: 
Min Cuts: 43 
S Size | Number of Cuts
     1 |            19
     2 |             2
     3 |             4
     4 |             2
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             1
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             2
    16 |             1
    17 |             3
    18 |             4
    19 |             4

graph20_40_369.txt: 
Min Cuts: 44 
S Size | Number of Cuts
     1 |            26
     2 |             0
     3 |             2
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             4
    16 |             2
    17 |             3
    18 |             2
    19 |             5

graph20_40_502.txt: 
Min Cuts: 45 
S Size | Number of Cuts
     1 |            21
     2 |             3
     3 |             0
     4 |             3
     5 |             0
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             2
    16 |             1
    17 |             2
    18 |             5
    19 |             6

graph20_40_281.txt: 
Min Cuts: 46 
S Size | Number of Cuts
     1 |            23
     2 |             3
     3 |             0
     4 |             0
     5 |             0
     6 |             2
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             1
    12 |             0
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             3
    19 |             8

graph20_40_215.txt: 
Min Cuts: 46 
S Size | Number of Cuts
     1 |            12
     2 |             7
     3 |             2
     4 |             3
     5 |             3
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             3
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             3
    18 |             4
    19 |             7

graph20_40_647.txt: 
Min Cuts: 46 
S Size | Number of Cuts
     1 |            13
     2 |             4
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             2
    12 |             1
    13 |             1
    14 |             4
    15 |             2
    16 |             4
    17 |             4
    18 |             2
    19 |             7

graph20_40_57.txt: 
Min Cuts: 47 
S Size | Number of Cuts
     1 |            17
     2 |             4
     3 |             3
     4 |             1
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             2
    12 |             0
    13 |             1
    14 |             2
    15 |             1
    16 |             2
    17 |             4
    18 |             3
    19 |             6

graph20_40_400.txt: 
Min Cuts: 47 
S Size | Number of Cuts
     1 |            19
     2 |             4
     3 |             3
     4 |             2
     5 |             0
     6 |             0
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             1
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             1
    17 |             4
    18 |             4
    19 |             7

graph20_40_65.txt: 
Min Cuts: 47 
S Size | Number of Cuts
     1 |            11
     2 |             2
     3 |            13
     4 |             3
     5 |             2
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             2
    11 |             0
    12 |             2
    13 |             1
    14 |             0
    15 |             1
    16 |             1
