graph20_70_802.txt: 
Min Cuts: 32 
S Size | Number of Cuts
     1 |            16
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             2
    18 |             4
    19 |            10

graph20_70_152.txt: 
Min Cuts: 32 
S Size | Number of Cuts
     1 |            16
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             1
    17 |             0
    18 |             2
    19 |            11

graph20_70_411.txt: 
Min Cuts: 33 
S Size | Number of Cuts
     1 |             9
     2 |             1
     3 |             0
     4 |             0
     5 |             7
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             0
    14 |             0
    15 |             1
    16 |             3
    17 |             1
    18 |             1
    19 |             9

graph20_70_945.txt: 
Min Cuts: 34 
S Size | Number of Cuts
     1 |            17
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             0
    18 |             5
    19 |             9

graph20_70_649.txt: 
Min Cuts: 35 
S Size | Number of Cuts
     1 |            14
     2 |             8
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             1
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             1
    18 |             3
    19 |             8

graph20_70_487.txt: 
Min Cuts: 36 
S Size | Number of Cuts
     1 |            12
     2 |             3
     3 |             2
     4 |             0
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             1
    17 |             2
    18 |             4
    19 |            10

graph20_70_89.txt: 
Min Cuts: 37 
S Size | Number of Cuts
     1 |            19
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             1
    18 |             2
    19 |            13

graph20_70_779.txt: 
Min Cuts: 38 
S Size | Number of Cuts
     1 |            19
     2 |             0
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             1
    12 |             1
    13 |             0
    14 |             1
    15 |             1
    16 |             0
    17 |             1
    18 |             3
    19 |            10

graph20_70_803.txt: 
Min Cuts: 39 
S Size | Number of Cuts
     1 |            24
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             3
    18 |             0
    19 |            12

graph20_70_225.txt: 
Min Cuts: 39 
S Size | Number of Cuts
     1 |            18
     2 |             3
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             2
    18 |             5
    19 |             9

graph20_70_213.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            11
     2 |            14
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             1
    18 |             3
    19 |            10

graph20_70_292.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            19
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             2
    17 |             3
    18 |             2
    19 |            11

graph20_70_467.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            21
     2 |             0
     3 |             2
     4 |             0
     5 |             2
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             1
    18 |             6
    19 |             7

graph20_70_22.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            15
     2 |             8
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             1
    17 |             2
    18 |             7
    19 |             6

graph20_70_923.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            22
     2 |             1
     3 |             0
     4 |             2
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             2
    18 |             4
    19 |             9

graph20_70_723.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |             8
     2 |             5
     3 |             1
     4 |             1
     5 |             1
     6 |             6
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             2
    16 |             1
    17 |             1
    18 |             1
    19 |            12

graph20_70_92.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            22
     2 |             1
     3 |             4
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             0
    18 |             5
    19 |             8

graph20_70_104.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            24
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |             1
    19 |            14

graph20_70_594.txt: 
Min Cuts: 41 
S Size | Number of Cuts
