graph20_30_120.txt: 
Min Cuts: 37 
S Size | Number of Cuts
     1 |            12
     2 |             6
     3 |             2
     4 |             3
     5 |             0
     6 |             1
     7 |             1
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             0
    15 |             2
    16 |             0
    17 |             2
    18 |             2
    19 |             4

graph20_30_61.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            13
     2 |             2
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             4
    12 |             3
    13 |             2
    14 |             2
    15 |             2
    16 |             2
    17 |             1
    18 |             4
    19 |             5

graph20_30_265.txt: 
Min Cuts: 43 
S Size | Number of Cuts
     1 |            14
     2 |             5
     3 |             1
     4 |             3
     5 |             1
     6 |             2
     7 |             1
     8 |             1
     9 |             2
    10 |             0
    11 |             1
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             5
    17 |             3
    18 |             3
    19 |             1

graph20_30_641.txt: 
Min Cuts: 45 
S Size | Number of Cuts
     1 |            13
     2 |             1
     3 |             4
     4 |             5
     5 |             0
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             2
    11 |             2
    12 |             2
    13 |             5
    14 |             2
    15 |             2
    16 |             2
    17 |             0
    18 |             3
    19 |             1

graph20_30_972.txt: 
Min Cuts: 45 
S Size | Number of Cuts
     1 |            13
     2 |             5
     3 |             7
     4 |             2
     5 |             2
     6 |             1
     7 |             0
     8 |             0
     9 |             3
    10 |             1
    11 |             1
    12 |             1
    13 |             2
    14 |             1
    15 |             0
    16 |             0
    17 |             0
    18 |             1
    19 |             5

graph20_30_866.txt: 
Min Cuts: 45 
S Size | Number of Cuts
     1 |            17
     2 |             4
     3 |             1
     4 |             1
     5 |             4
     6 |             1
     7 |             3
     8 |             0
     9 |             1
    10 |             4
    11 |             1
    12 |             0
    13 |             0
    14 |             2
    15 |             2
    16 |             0
    17 |             2
    18 |             0
    19 |             2

graph20_30_844.txt: 
Min Cuts: 46 
S Size | Number of Cuts
     1 |            15
     2 |             3
     3 |             2
     4 |             6
     5 |             1
     6 |             0
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             1
    12 |             1
    13 |             1
    14 |             0
    15 |             1
    16 |             4
    17 |             1
    18 |             2
    19 |             7

graph20_30_286.txt: 
Min Cuts: 46 
S Size | Number of Cuts
     1 |            11
     2 |             8
     3 |             3
     4 |             1
     5 |             0
     6 |             1
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             2
    12 |             0
    13 |             4
    14 |             1
    15 |             3
    16 |             1
    17 |             1
    18 |             4
    19 |             5

graph20_30_565.txt: 
Min Cuts: 46 
S Size | Number of Cuts
     1 |            17
     2 |             3
     3 |             1
     4 |             1
     5 |             5
     6 |             2
     7 |             0
     8 |             1
     9 |             1
    10 |             0
    11 |             1
    12 |             1
    13 |             0
    14 |             0
    15 |             1
    16 |             2
    17 |             2
    18 |             4
    19 |             4

graph20_30_444.txt: 
Min Cuts: 46 
S Size | Number of Cuts
     1 |            12
     2 |             7
     3 |             4
     4 |             0
     5 |             0
     6 |             0
     7 |             1
     8 |             0
     9 |             1
    10 |             4
    11 |             1
    12 |             0
    13 |             0
    14 |             3
    15 |             3
    16 |             2
    17 |             3
    18 |             1
    19 |             4

graph20_30_160.txt: 
Min Cuts: 47 
S Size | Number of Cuts
     1 |            15
     2 |             6
     3 |             3
     4 |             2
     5 |             2
     6 |             4
     7 |             2
     8 |             2
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             2
    16 |             3
    17 |             1
    18 |             2
    19 |             3

graph20_30_534.txt: 
Min Cuts: 47 
S Size | Number of Cuts
     1 |            13
     2 |             6
     3 |             2
     4 |             1
     5 |             1
     6 |             0
     7 |             0
     8 |             2
     9 |             0
    10 |             2
    11 |             2
    12 |             2
    13 |             2
    14 |             2
    15 |             1
    16 |             1
    17 |             2
    18 |             4
    19 |             4

graph20_30_622.txt: 
Min Cuts: 47 
S Size | Number of Cuts
     1 |            15
     2 |             8
     3 |             4
     4 |             4
     5 |             4
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             2
    16 |             1
    17 |             4
    18 |             3
    19 |             2

graph20_30_7.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            13
     2 |             7
     3 |             4
     4 |             1
     5 |             8
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             3
    16 |             2
    17 |             2
    18 |             4
    19 |             4

graph20_30_869.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            12
     2 |             6
     3 |             1
     4 |             0
     5 |             0
     6 |             3
     7 |             1
     8 |             2
     9 |             1
    10 |             2
    11 |             3
    12 |             3
    13 |             3
    14 |             2
    15 |             0
    16 |             3
    17 |             0
    18 |             3
    19 |             4

graph20_30_262.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            15
     2 |            10
     3 |             8
     4 |             2
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             2
    14 |             2
    15 |             2
    16 |             0
    17 |             3
    18 |             2
    19 |             3

graph20_30_775.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            18
     2 |             7
     3 |             3
     4 |             0
     5 |             1
     6 |             1
     7 |             1
     8 |             1
     9 |             1
