MinCut number | Number of graphs
            4 |               0
            5 |               0
            6 |               0
            7 |               0
            8 |             107
            9 |             210
           10 |             259
           11 |             249
           12 |             124
           13 |              44
           14 |               7
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
