MinCut number | Number of graphs
            4 |               0
            5 |               0
            6 |               0
            7 |               0
            8 |              81
            9 |             237
           10 |             277
           11 |             239
           12 |             100
           13 |              56
           14 |              10
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
