MinCut number | Number of graphs
            4 |               0
            5 |               0
            6 |               0
            7 |               0
            8 |             160
            9 |             259
           10 |             236
           11 |             196
           12 |              99
           13 |              44
           14 |               6
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
