MinCut number | Number of graphs
            4 |               0
            5 |               0
            6 |               0
            7 |               8
            8 |             285
            9 |             351
           10 |             203
           11 |              98
           12 |              46
           13 |               8
           14 |               1
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
