graph20_21_773.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            19
     2 |             7
     3 |             4
     4 |             3
     5 |             1
     6 |             1
     7 |             1
     8 |             0
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             1
    19 |             2

graph20_21_106.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            20
     2 |             8
     3 |             6
     4 |             3
     5 |             1
     6 |             1
     7 |             1
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_21_988.txt: 
Min Cuts: 50 
S Size | Number of Cuts
     1 |            19
     2 |             7
     3 |             4
     4 |             3
     5 |             1
     6 |             2
     7 |             2
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             1
    19 |             1

graph20_21_20.txt: 
Min Cuts: 50 
S Size | Number of Cuts
     1 |            19
     2 |             9
     3 |             5
     4 |             2
     5 |             1
     6 |             1
     7 |             1
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             0
    18 |             1
    19 |             2

graph20_21_511.txt: 
Min Cuts: 51 
S Size | Number of Cuts
     1 |            19
     2 |             8
     3 |             3
     4 |             2
     5 |             2
     6 |             2
     7 |             2
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             1
    19 |             2

graph20_21_559.txt: 
Min Cuts: 51 
S Size | Number of Cuts
     1 |            19
     2 |             9
     3 |             5
     4 |             4
     5 |             3
     6 |             2
     7 |             3
     8 |             1
     9 |             1
    10 |             0
    11 |             1
    12 |             1
    13 |             1
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |             0
    19 |             1

graph20_21_781.txt: 
Min Cuts: 52 
S Size | Number of Cuts
     1 |            19
     2 |             7
     3 |             5
     4 |             2
     5 |             2
     6 |             2
     7 |             2
     8 |             2
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             1
    19 |             1

graph20_21_919.txt: 
Min Cuts: 52 
S Size | Number of Cuts
     1 |            19
     2 |             9
     3 |             5
     4 |             2
     5 |             3
     6 |             1
     7 |             1
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             1
    19 |             1

graph20_21_981.txt: 
Min Cuts: 52 
S Size | Number of Cuts
     1 |            19
     2 |             9
     3 |             5
     4 |             3
     5 |             2
     6 |             1
     7 |             1
     8 |             1
     9 |             0
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             1
    19 |             2

graph20_21_359.txt: 
Min Cuts: 52 
S Size | Number of Cuts
     1 |            19
     2 |             9
     3 |             6
     4 |             3
     5 |             1
     6 |             1
     7 |             1
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
