MinCut number | Number of graphs
            5 |               0
            6 |               0
            7 |               0
            8 |               0
            9 |               0
           10 |               6
           11 |              18
           12 |              21
           13 |              32
           14 |              36
           15 |              18
           16 |              11
           17 |               4
           18 |               2
           19 |               2
           20 |               0
           21 |               0
           22 |               0
           23 |               0
           24 |               0
           25 |               0
           26 |               0
           27 |               0
           28 |               0
           29 |               0
           30 |               0
