MinCut number | Number of graphs
            4 |               0
            5 |               0
            6 |               0
            7 |               0
            8 |               9
            9 |              27
           10 |              30
           11 |              19
           12 |              11
           13 |               2
           14 |               2
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
